№,ID ЖК,Место Регион / РФ,+/-,Наименование ЖК,Регион,Адрес ЖК,Оценка ЕРЗ,Квартир в продаже,Класс,Этажность,Застройщик,Рейтинг ЕРЗ
490.0,9575887001.0,401/3514,+32,ЖК SHIROKAYA | https://erzrf.ru/novostroyki/zhk-shirokaya-9575887001?regionKey=143443001&gkId=9575887001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Северное Медведково, ул.Широкая",н/р,0.0,бизнес,многоэтажные дома,Патек Групп | https://erzrf.ru/zastroyschiki/brand/9575642001?regionKey=0&organizationId=9575642001,4.0
491.0,3050298001.0,401/3514,+32,ЖК SREDA | https://erzrf.ru/novostroyki/zhk-sreda-3050298001?regionKey=143443001&gkId=3050298001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Нижегородский, пр-кт Рязанский",н/р,0.0,комфорт,высотные дома,Группа ПСН | https://erzrf.ru/zastroyschiki/brand/2303755001?regionKey=0&organizationId=2303755001,н/р
492.0,25269648001.0,401/3514,+32,ЖК Smart Garden | https://erzrf.ru/novostroyki/?regionKey=143443001&gkId=25269648001,г.Москва,"пос.Газопровод, округ Новомосковский, ул.Лесные Поляны 5-я",н/р,275.0,комфорт,многоэтажные дома,СЗ Горакс | https://erzrf.ru/zastroyschiki/brand/25269621001?regionKey=0&organizationId=25269621001,н/р
493.0,9858723001.0,401/3514,+32,ЖК Soho+Noho | https://erzrf.ru/novostroyki/zhk-soho+noho-9858723001?regionKey=143443001&gkId=9858723001,г.Москва,"г.Москва, округ Северный, р-н Беговой, пр-д Бумажный",н/р,0.0,бизнес,дома повышенной этажности,Wainbridge | https://erzrf.ru/zastroyschiki/brand/9856778001?regionKey=0&organizationId=9856778001,4.5
494.0,26386367001.0,401/3514,+32,ЖК Sokolniki | https://erzrf.ru/novostroyki/zhk-sokolniki-26386367001?regionKey=143443001&gkId=26386367001,г.Москва,"г.Москва, округ Восточный, р-н Сокольники, ул.Гастелло",н/р,206.0,бизнес,высотные дома,STONE | https://erzrf.ru/zastroyschiki/brand/7765277001?regionKey=0&organizationId=7765277001,н/р
495.0,5051029001.0,401/3514,+32,ЖК Soyuz Apartments | https://erzrf.ru/novostroyki/zhk-soyuz-apartments-5051029001?regionKey=143443001&gkId=5051029001,г.Москва,"г.Москва, округ Центральный, р-н Басманный, ул.Новорязанская",н/р,0.0,элитный,среднеэтажные дома,ГК Брик | https://erzrf.ru/zastroyschiki/brand/5050667001?regionKey=0&organizationId=5050667001,н/р
496.0,26675574001.0,401/3514,+32,ЖК Springs | https://erzrf.ru/novostroyki/zhk-springs-26675574001?regionKey=143443001&gkId=26675574001,г.Москва,"г.Москва, округ Западный, р-н Фили-Давыдково, ул.Малая Филевская",н/р,35.0,элитный,высотные дома,СЗ Спрингс | https://erzrf.ru/zastroyschiki/brand/26675337001?regionKey=0&organizationId=26675337001,н/р
497.0,5050306001.0,401/3514,+32,ЖК Studio №12 | https://erzrf.ru/novostroyki/zhk-studio-№12-5050306001?regionKey=143443001&gkId=5050306001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Марьина Роща, пр-д 12-й Марьиной Рощи",н/р,0.0,бизнес,малоэтажные дома,KR Properties | https://erzrf.ru/zastroyschiki/brand/5050110001?regionKey=0&organizationId=5050110001,4.5
498.0,24553428001.0,401/3514,+32,ЖК TITUL на Костомаровской | https://erzrf.ru/novostroyki/zhk-po-per-kostomarovskij-vl-15-24553428001?regionKey=143443001&gkId=24553428001,г.Москва,"г.Москва, округ Центральный, р-н Таганский, пер.Костомаровский",н/р,0.0,бизнес,многоэтажные дома,Центр-Инвест | https://erzrf.ru/zastroyschiki/brand/8961336001?regionKey=0&organizationId=8961336001,3.5
499.0,8594551001.0,401/3514,+32,ЖК Tatlin Apartments | https://erzrf.ru/novostroyki/zhk-tatlin-apartments-8594551001?regionKey=143443001&gkId=8594551001,г.Москва,"г.Москва, округ Центральный, р-н Басманный, ул.Бакунинская",н/р,0.0,бизнес,многоэтажные дома,VESTA DEVELOPMENT | https://erzrf.ru/zastroyschiki/brand/8594149001?regionKey=0&organizationId=8594149001,н/р
500.0,5663002001.0,401/3514,+32,ЖК The Five | https://erzrf.ru/novostroyki/zhk-the-five-5663002001?regionKey=143443001&gkId=5663002001,г.Москва,"г.Москва, округ Южный, р-н Донской, пр-д 5-й Донской",н/р,138.0,элитный,высотные дома,СЗ 5 Донской | https://erzrf.ru/zastroyschiki/brand/5662647001?regionKey=0&organizationId=5662647001,н/р
501.0,8096041001.0,401/3514,+32,ЖК The MID | https://erzrf.ru/novostroyki/zhk-the-mid-8096041001?regionKey=143443001&gkId=8096041001,г.Москва,"г.Москва, округ Юго-Западный, р-н Обручевский, пр-кт Ленинский",н/р,0.0,бизнес,высотные дома,СИК БЭСТКОН | https://erzrf.ru/zastroyschiki/brand/4497185001?regionKey=0&organizationId=4497185001,0.5
502.0,8364884001.0,401/3514,+32,ЖК TriBeCa APARTMENTS | https://erzrf.ru/novostroyki/zhk-tribeca-apartments-8364884001?regionKey=143443001&gkId=8364884001,г.Москва,"г.Москва, округ Центральный, р-н Басманный, ул.Нижняя Красносельская",н/р,0.0,бизнес,многоэтажные дома,STONE | https://erzrf.ru/zastroyschiki/brand/7765277001?regionKey=0&organizationId=7765277001,н/р
503.0,837997001.0,401/3514,+32,ЖК UNION PARK | https://erzrf.ru/novostroyki/zhk-union-park-837997001?regionKey=143443001&gkId=837997001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, б-р Генерала Карбышева",н/р,0.0,бизнес,высотные дома,Концерн КРОСТ | https://erzrf.ru/zastroyschiki/brand/430109001?regionKey=0&organizationId=430109001,1.5
504.0,26863445001.0,401/3514,new,ЖК UNO.Соколиная гора | https://erzrf.ru/novostroyki/zhk-unosokolinaja-gora-26863445001?regionKey=143443001&gkId=26863445001,г.Москва,"г.Москва, округ Восточный, р-н Соколиная гора, ул.8-я Соколиной Горы",н/р,0.0,бизнес,дома повышенной этажности,Специализированный застройщик Ак Барс-Инвест | https://erzrf.ru/zastroyschiki/brand/26862871001?regionKey=0&organizationId=26862871001,н/р
505.0,2693074001.0,401/3514,+32,ЖК V-HOUSE | https://erzrf.ru/novostroyki/zhk-v-house-2693074001?regionKey=143443001&gkId=2693074001,г.Москва,"г.Москва, округ Южный, р-н Нагорный, пр-д Электролитный",н/р,0.0,комфорт,дома повышенной этажности,Ведис Групп | https://erzrf.ru/zastroyschiki/brand/430127001?regionKey=0&organizationId=430127001,н/р
506.0,24287517001.0,401/3514,+32,ЖК V12 | https://erzrf.ru/novostroyki/zhk-v12-24287517001?regionKey=143443001&gkId=24287517001,г.Москва,"г.Москва, округ Западный, р-н Раменки, пр-кт Вернадского",н/р,0.0,бизнес,многоэтажные дома,Холдинг Sezar Group | https://erzrf.ru/zastroyschiki/brand/1214960001?regionKey=0&organizationId=1214960001,4.5
507.0,4272224001.0,401/3514,+32,"ЖК VAVILOVE (Вавилова, 69) | https://erzrf.ru/novostroyki/zhk-vavilove-vavilova-69-4272224001?regionKey=143443001&gkId=4272224001",г.Москва,"г.Москва, округ Юго-Западный, р-н Раменки, ул.Вавилова",н/р,0.0,бизнес,дома повышенной этажности,ГК ИНГРАД | https://erzrf.ru/zastroyschiki/brand/3955566001?regionKey=0&organizationId=3955566001,1.5
508.0,25372626001.0,401/3514,+32,ЖК VEER | https://erzrf.ru/novostroyki/zhk-veer-25372626001?regionKey=143443001&gkId=25372626001,г.Москва,"г.Москва, округ Западный, р-н Можайский, ул.Верейская",н/р,386.0,бизнес,высотные дома,MR Group | https://erzrf.ru/zastroyschiki/brand/430836001?regionKey=0&organizationId=430836001,3.0
509.0,4300692001.0,401/3514,+32,ЖК Vander Park | https://erzrf.ru/novostroyki/zhk-vander-park-4300692001?regionKey=143443001&gkId=4300692001,г.Москва,"г.Москва, округ Западный, р-н Кунцево, ш.Рублевское",н/р,0.0,бизнес,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
510.0,815823001.0,401/3514,+32,ЖК Versis | https://erzrf.ru/novostroyki/zhk-versis-815823001?regionKey=143443001&gkId=815823001,г.Москва,"г.Москва, округ Юго-Западный, р-н Нагорный, пр-кт Нахимовский",н/р,0.0,бизнес,высотные дома,ГК Пересвет-Групп | https://erzrf.ru/zastroyschiki/brand/442375001?regionKey=0&organizationId=442375001,0.0
511.0,24954109001.0,401/3514,+32,ЖК Vesper Кутузовский | https://erzrf.ru/novostroyki/zhk-vesper-kutuzovskij-24954109001?regionKey=143443001&gkId=24954109001,г.Москва,"г.Москва, округ Западный, р-н Дорогомилово, пр-кт Кутузовский",н/р,0.0,элитный,дома повышенной этажности,СЗ Дивинус Иммобила | https://erzrf.ru/zastroyschiki/brand/24953945001?regionKey=0&organizationId=24953945001,н/р
512.0,8259849001.0,401/3514,+32,ЖК VillaGrace | https://erzrf.ru/novostroyki/zhk-villagrace-8259849001?regionKey=143443001&gkId=8259849001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, пер.Пожарский",н/р,0.0,элитный,среднеэтажные дома,ГК Стройтэкс | https://erzrf.ru/zastroyschiki/brand/1684787001?regionKey=0&organizationId=1684787001,0.5
513.0,22153560001.0,401/3514,+4,ЖК Vnukovo Country Club | https://erzrf.ru/novostroyki/zhk-vnukovo-country-club-22153560001?regionKey=143443001&gkId=22153560001,г.Москва,"дер.Рогозинино (в составе г. о. Москва), округ Троицкий",н/р,0.0,бизнес,многоэтажные дома,СЗ КАНТРИ КЛАБ | https://erzrf.ru/zastroyschiki/brand/22153252001?regionKey=0&organizationId=22153252001,5.0
514.0,25309877001.0,401/3514,+32,ЖК Voice Towers | https://erzrf.ru/novostroyki/zhk-voice-towers-25309877001?regionKey=143443001&gkId=25309877001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Текстильщики, пр-д 1-й Грайвороновский",н/р,1.0,бизнес,высотные дома,3S Group | https://erzrf.ru/zastroyschiki/brand/9725613001?regionKey=0&organizationId=9725613001,2.0
515.0,10060228001.0,401/3514,+32,ЖК WHITE | https://erzrf.ru/novostroyki/zhk-white-khamovniki-10060228001?regionKey=143443001&gkId=10060228001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, пер.Олсуфьевский",н/р,0.0,элитный,многоэтажные дома,Capital Group | https://erzrf.ru/zastroyschiki/brand/430410001?regionKey=0&organizationId=430410001,5.0
516.0,835692001.0,401/3514,+32,ЖК Wellton park | https://erzrf.ru/novostroyki/zhk-wellton-park-835692001?regionKey=143443001&gkId=835692001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, наб.Карамышевская",н/р,0.0,бизнес,высотные дома,Концерн КРОСТ | https://erzrf.ru/zastroyschiki/brand/430109001?regionKey=0&organizationId=430109001,1.5
517.0,4244077001.0,401/3514,-302,ЖК Wine House | https://erzrf.ru/novostroyki/zhk-wine-house-4244077001?regionKey=143443001&gkId=4244077001,г.Москва,"г.Москва, округ Центральный, р-н Замоскворечье, ул.Садовническая",н/р,0.0,элитный,среднеэтажные дома,Галс-Девелопмент | https://erzrf.ru/zastroyschiki/brand/429942001?regionKey=0&organizationId=429942001,н/р
518.0,8062477001.0,401/3514,+32,ЖК YE’S Botanica | https://erzrf.ru/novostroyki/zhk-ye’s-botanica-8062477001?regionKey=143443001&gkId=8062477001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Ростокино, ул.1-я Леонова",н/р,0.0,комфорт,высотные дома,ГК Пионер | https://erzrf.ru/zastroyschiki/brand/430031001?regionKey=0&organizationId=430031001,5.0
519.0,3186111001.0,401/3514,+32,ЖК YE’S | https://erzrf.ru/novostroyki/zhk-ye’s-3186111001?regionKey=143443001&gkId=3186111001,г.Москва,"г.Москва, округ Западный, р-н Донской, ул.Митинская",н/р,0.0,эконом,дома повышенной этажности,ГК Пионер | https://erzrf.ru/zastroyschiki/brand/430031001?regionKey=0&organizationId=430031001,5.0
520.0,4798831001.0,401/3514,+32,ЖК Zvonarsky Deluxe | https://erzrf.ru/novostroyki/zhk-zvonarsky-deluxe-4798831001?regionKey=143443001&gkId=4798831001,г.Москва,"г.Москва, округ Центральный, р-н Мещанский, пер.Звонарский",н/р,0.0,элитный,многоэтажные дома,ГК АфинаСтрой | https://erzrf.ru/zastroyschiki/brand/1953620001?regionKey=0&organizationId=1953620001,н/р
521.0,7666231001.0,401/3514,+32,ЖК Аалто | https://erzrf.ru/novostroyki/zhk-aalto-7666231001?regionKey=143443001&gkId=7666231001,г.Москва,"г.Москва, округ Северный, р-н Савёловский, пр-д Старый Петровско-Разумовский",н/р,0.0,бизнес,многоэтажные дома,Группа Эталон | https://erzrf.ru/zastroyschiki/brand/1331499001?regionKey=0&organizationId=1331499001,5.0
522.0,16659103001.0,401/3514,+32,ЖК Абрикосов | https://erzrf.ru/novostroyki/zhk-abrikosov-16659103001?regionKey=143443001&gkId=16659103001,г.Москва,"г.Москва, округ Центральный, р-н Басманный, пер.Потаповский",н/р,3.0,элитный,среднеэтажные дома,MR Group | https://erzrf.ru/zastroyschiki/brand/430836001?regionKey=0&organizationId=430836001,3.0
523.0,2378646001.0,401/3514,+32,ЖК Академ-Палас | https://erzrf.ru/novostroyki/zhk-akadem-palas-2378646001?regionKey=143443001&gkId=2378646001,г.Москва,"г.Москва, округ Западный, р-н Тропарёво-Никулино, пр-кт Вернадского",н/р,0.0,элитный,высотные дома,ОСК | https://erzrf.ru/zastroyschiki/brand/2992322001?regionKey=0&organizationId=2992322001,0.0
524.0,10708385001.0,401/3514,-335,ЖК Аквилон Парк | https://erzrf.ru/novostroyki/zhk-akvilon-park-10708385001?regionKey=143443001&gkId=10708385001,г.Москва,"с.п.Сосенское, округ Новомосковский, ул.Фитарёвская",н/р,0.0,комфорт,многоэтажные дома,Группа Аквилон | https://erzrf.ru/zastroyschiki/brand/391375001?regionKey=0&organizationId=391375001,5.0
525.0,772451001.0,401/3514,+32,ЖК Алые паруса | https://erzrf.ru/novostroyki/zhk-alye-parusa-772451001?regionKey=143443001&gkId=772451001,г.Москва,"г.Москва, округ Северо-Западный, р-н Щукино, ул.Авиационная",н/р,0.0,элитный,высотные дома,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
526.0,1922311001.0,401/3514,+32,ЖК Андерсен | https://erzrf.ru/novostroyki/zhk-andersen-1922311001?regionKey=143443001&gkId=1922311001,г.Москва,"дер.Десна, округ Новомосковский",н/р,0.0,эконом,малоэтажные дома,ДЕСНА-ЛЭНД | https://erzrf.ru/zastroyschiki/brand/4846695001?regionKey=0&organizationId=4846695001,0.0
527.0,5625896001.0,401/3514,+32,ЖК Аннино Парк | https://erzrf.ru/novostroyki/zhk-annino-park-5625896001?regionKey=143443001&gkId=5625896001,г.Москва,"г.Москва, округ Южный, р-н Чертаново Южное, ш.Варшавское",н/р,0.0,комфорт,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
528.0,9451480001.0,401/3514,+32,ЖК Апарт-отель YE’S Технопарк | https://erzrf.ru/novostroyki/zhk-apart-otel-yes-technopark-9451480001?regionKey=143443001&gkId=9451480001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, пр-кт Андропова",н/р,0.0,бизнес,высотные дома,ГК Пионер | https://erzrf.ru/zastroyschiki/brand/430031001?regionKey=0&organizationId=430031001,5.0
529.0,4213408001.0,401/3514,+32,ЖК Атмосфера | https://erzrf.ru/novostroyki/zhk-atmosfera-4213408001?regionKey=143443001&gkId=4213408001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Люблино, ул.Совхозная",н/р,0.0,комфорт,многоэтажные дома,Желдорипотека | https://erzrf.ru/zastroyschiki/brand/430260001?regionKey=0&organizationId=430260001,0.5
530.0,6338882001.0,401/3514,+32,ЖК Бабушкинский Парк | https://erzrf.ru/novostroyki/zhk-babushkinskij-park-6338882001?regionKey=143443001&gkId=6338882001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Лосиноостровский, ул.Коминтерна",н/р,0.0,элитный,дома повышенной этажности,ГК Промингрупп | https://erzrf.ru/zastroyschiki/brand/6337919001?regionKey=0&organizationId=6337919001,н/р
531.0,4083462001.0,401/3514,+32,ЖК Байконур | https://erzrf.ru/novostroyki/zhk-bajkonur-4083462001?regionKey=143443001&gkId=4083462001,г.Москва,"г.Москва, округ Южный, р-н Донской, ул.Орджоникидзе",н/р,0.0,бизнес,дома повышенной этажности,ВОСТОК ДЕВЕЛОПМЕНТ | https://erzrf.ru/zastroyschiki/brand/4083173001?regionKey=0&organizationId=4083173001,н/р
532.0,9587054001.0,401/3514,+32,ЖК Балтийский квартет | https://erzrf.ru/novostroyki/zhk-baltijskij-kvartet-9587054001?regionKey=143443001&gkId=9587054001,г.Москва,"г.Москва, округ Северо-Западный, р-н Южное Тушино, б-р Яна Райниса",н/р,0.0,комфорт,дома повышенной этажности,Компания ТОРОС | https://erzrf.ru/zastroyschiki/brand/9586206001?regionKey=0&organizationId=9586206001,н/р
533.0,11550070001.0,401/3514,+32,ЖК Балтийский | https://erzrf.ru/novostroyki/zhk-baltijskij-11550070001?regionKey=143443001&gkId=11550070001,г.Москва,"г.Москва, округ Северный, р-н Войковский, пр-д Старопетровский",н/р,0.0,комфорт,дома повышенной этажности,РГ-Девелопмент | https://erzrf.ru/zastroyschiki/brand/3136702001?regionKey=0&organizationId=3136702001,4.5
534.0,4887595001.0,401/3514,+32,ЖК Барбарис | https://erzrf.ru/novostroyki/zhk-barbaris-4887595001?regionKey=143443001&gkId=4887595001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Алтуфьевский, ул.Бибиревская",н/р,0.0,бизнес,дома повышенной этажности,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
535.0,3262292001.0,401/3514,-49,ЖК Баркли Медовая долина | https://erzrf.ru/novostroyki/zhk-barkli-medovaja-dolina-3262292001?regionKey=143443001&gkId=3262292001,г.Москва,"дер.Марушкино, округ Новомосковский, ул.Медовая долина",н/р,0.0,комфорт,среднеэтажные дома,Корпорация Баркли | https://erzrf.ru/zastroyschiki/brand/427747001?regionKey=0&organizationId=427747001,0.5
536.0,4324401001.0,401/3514,+32,ЖК Басманный 5 | https://erzrf.ru/novostroyki/zhk-basmannyj-5-4324401001?regionKey=143443001&gkId=4324401001,г.Москва,"г.Москва, округ Центральный, р-н Басманный, пер.Басманный",н/р,0.0,бизнес,многоэтажные дома,MR Group | https://erzrf.ru/zastroyschiki/brand/430836001?regionKey=0&organizationId=430836001,3.0
537.0,2733874001.0,401/3514,+32,ЖК Белая Звезда | https://erzrf.ru/novostroyki/zhk-belaja-zvezda-2733874001?regionKey=143443001&gkId=2733874001,г.Москва,"г.Щербинка, округ Новомосковский, ул.40 лет Октября",н/р,0.0,комфорт,многоэтажные дома,ГК Горизонт Девелопмент | https://erzrf.ru/zastroyschiki/brand/1853650001?regionKey=0&organizationId=1853650001,н/р
538.0,856035001.0,401/3514,+32,ЖК Белый парк 2 | https://erzrf.ru/novostroyki/zhk-belyj-park-2-856035001?regionKey=143443001&gkId=856035001,г.Москва,"г.Москва, округ Северный, р-н Левобережный",н/р,0.0,комфорт,дома повышенной этажности,Центр-Инвест | https://erzrf.ru/zastroyschiki/brand/8961336001?regionKey=0&organizationId=8961336001,3.5
539.0,857220001.0,401/3514,+32,ЖК Белый парк | https://erzrf.ru/novostroyki/zhk-belyj-park-857220001?regionKey=143443001&gkId=857220001,г.Москва,"г.Москва, округ Северный, р-н Левобережный",н/р,0.0,эконом,многоэтажные дома,Центр-Инвест | https://erzrf.ru/zastroyschiki/brand/8961336001?regionKey=0&organizationId=8961336001,3.5
540.0,26663713001.0,401/3514,+32,ЖК Береговой-2 | https://erzrf.ru/novostroyki/zhk-beregovoj-2-26663713001?regionKey=143443001&gkId=26663713001,г.Москва,"г.Москва, округ Западный, р-н Филёвский Парк, пр-д Береговой",н/р,206.0,элитный,высотные дома,ГК Главстрой | https://erzrf.ru/zastroyschiki/brand/1961151001?regionKey=0&organizationId=1961151001,1.5
541.0,24660960001.0,401/3514,+32,ЖК Болотниковская 43 | https://erzrf.ru/novostroyki/zhk-bolotnikovskaja-43-24660960001?regionKey=143443001&gkId=24660960001,г.Москва,"г.Москва, округ Юго-Западный, р-н Зюзино, ул.Болотниковская",н/р,0.0,эконом,многоэтажные дома,Фонд реновации | https://erzrf.ru/zastroyschiki/brand/14543898001?regionKey=0&organizationId=14543898001,5.0
542.0,26848141001.0,401/3514,new,ЖК Большая Никитская 16 | https://erzrf.ru/novostroyki/zhk-bolshaja-nikitskaja-16-26848141001?regionKey=143443001&gkId=26848141001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, ул.Большая Никитская",н/р,0.0,элитный,среднеэтажные дома,СЗ СпецЖилРемонт | https://erzrf.ru/zastroyschiki/brand/26848022001?regionKey=0&organizationId=26848022001,н/р
543.0,11974009001.0,401/3514,+32,ЖК Брюсов Клаб | https://erzrf.ru/novostroyki/zhk-brjusov-klab-11974009001?regionKey=143443001&gkId=11974009001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, пер.Брюсов",н/р,0.0,элитный,среднеэтажные дома,Брюсов-Эстейт | https://erzrf.ru/zastroyschiki/brand/11973521001?regionKey=0&organizationId=11973521001,н/р
544.0,4306122001.0,401/3514,+32,ЖК Букинист | https://erzrf.ru/novostroyki/zhk-bukinist-4306122001?regionKey=143443001&gkId=4306122001,г.Москва,"г.Москва, округ Юго-Западный, р-н Коньково, ул.Бутлерово",н/р,0.0,бизнес,дома повышенной этажности,Концерн КРОСТ | https://erzrf.ru/zastroyschiki/brand/430109001?regionKey=0&organizationId=430109001,1.5
545.0,13267373001.0,401/3514,+32,ЖК Бульвар Матроса Железняка 11 | https://erzrf.ru/novostroyki/zhk-bulvar-matrosa-zheleznjaka-11-13267373001?regionKey=143443001&gkId=13267373001,г.Москва,"г.Москва, округ Северный, р-н Коптево, б-р Матроса Железняка",н/р,2.0,,,,н/р
546.0,3311373001.0,401/3514,+32,ЖК Бунинский | https://erzrf.ru/novostroyki/zhk-buninskij-3311373001?regionKey=143443001&gkId=3311373001,г.Москва,"дер.Столбово, округ Новомосковский, ул.Академика Семенова",н/р,0.0,эконом,многоэтажные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
547.0,6289219001.0,401/3514,+32,ЖК Бутовские аллеи | https://erzrf.ru/novostroyki/zhk-butovskie-allei-6289219001?regionKey=143443001&gkId=6289219001,г.Москва,"с.п.Сосенское, округ Новомосковский",н/р,0.0,комфорт,малоэтажные дома,Полир М | https://erzrf.ru/zastroyschiki/brand/6288699001?regionKey=0&organizationId=6288699001,н/р
548.0,10277431001.0,401/3514,+32,ЖК В Чертаново | https://erzrf.ru/novostroyki/zhk-v-chertanovo-10277431001?regionKey=143443001&gkId=10277431001,г.Москва,"г.Москва, округ Южный, р-н Чертаново Северное, пр-кт Балаклавский",н/р,0.0,эконом,высотные дома,"ГК СУ-155 (достраивал АО ""Банк ДОМ.РФ"") | https://erzrf.ru/zastroyschiki/brand/346211001?regionKey=0&organizationId=346211001",0.0
549.0,16830283001.0,401/3514,+32,ЖК В квартале 115 | https://erzrf.ru/novostroyki/zhk-v-kvartale-115-16830283001?regionKey=143443001&gkId=16830283001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Кузьминки, квартал 115, пр-кт Волгоградский",н/р,0.0,эконом,дома повышенной этажности,КП УГС | https://erzrf.ru/zastroyschiki/brand/9530869001?regionKey=0&organizationId=9530869001,5.0
550.0,26372188001.0,401/3514,+32,ЖК В пос. Акулово | https://erzrf.ru/novostroyki/zhk-v-pos-akulovo-26372188001?regionKey=143443001&gkId=26372188001,г.Москва,"г.Москва, округ Восточный, р-н Восточный",н/р,0.0,эконом,многоэтажные дома,Фонд реновации | https://erzrf.ru/zastroyschiki/brand/14543898001?regionKey=0&organizationId=14543898001,5.0
551.0,18500572001.0,401/3514,+32,ЖК В поселке Мосрентген | https://erzrf.ru/novostroyki/zhk-v-poselke-mosrentgen-18500572001?regionKey=143443001&gkId=18500572001,г.Москва,"пос.завода Мосрентген (в составе г. о. Москвы), округ Новомосковский, квартал 24",н/р,0.0,эконом,многоэтажные дома,Фонд реновации | https://erzrf.ru/zastroyschiki/brand/14543898001?regionKey=0&organizationId=14543898001,5.0
552.0,3184241001.0,401/3514,+32,ЖК ВТБ Арена парк | https://erzrf.ru/novostroyki/zhk-vtb-arena-park-3184241001?regionKey=143443001&gkId=3184241001,г.Москва,"г.Москва, округ Северный, р-н Аэропорт, пр-кт Ленинградский",н/р,0.0,бизнес,многоэтажные дома,УК Динамо | https://erzrf.ru/zastroyschiki/brand/4849955001?regionKey=0&organizationId=4849955001,н/р
553.0,6633059001.0,401/3514,+32,ЖК Вавилов Дом | https://erzrf.ru/novostroyki/zhk-vavilov-dom-6633059001?regionKey=143443001&gkId=6633059001,г.Москва,"г.Москва, округ Юго-Западный, р-н Академический, ул.Вавилова",н/р,0.0,бизнес,дома повышенной этажности,Центр-Инвест | https://erzrf.ru/zastroyschiki/brand/8961336001?regionKey=0&organizationId=8961336001,3.5
554.0,4294284001.0,401/3514,+32,ЖК Вавилова 4 | https://erzrf.ru/novostroyki/zhk-vavilova-4-4294284001?regionKey=143443001&gkId=4294284001,г.Москва,"г.Москва, округ Южный, р-н Донской, ул.Вавилова",н/р,0.0,бизнес,многоэтажные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
555.0,2585821001.0,401/3514,+32,ЖК Варшавское шоссе 141 | https://erzrf.ru/novostroyki/zhk-varshavskoe-shosse-141-2585821001?regionKey=143443001&gkId=2585821001,г.Москва,"г.Москва, округ Южный, р-н Чертаново Южное, ш.Варшавское",н/р,0.0,комфорт,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
556.0,24660422001.0,401/3514,+3,ЖК Введенского 5 | https://erzrf.ru/novostroyki/zhk-vvedenskogo-5-24660422001?regionKey=143443001&gkId=24660422001,г.Москва,"г.Москва, округ Юго-Западный, р-н Коньково, ул.Введенского",н/р,0.0,эконом,многоэтажные дома,Фонд реновации | https://erzrf.ru/zastroyschiki/brand/14543898001?regionKey=0&organizationId=14543898001,5.0
557.0,13737762001.0,401/3514,+32,ЖК Вереск | https://erzrf.ru/novostroyki/zhk-veresk-13737762001?regionKey=143443001&gkId=13737762001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, ул.3-я Хорошевская",н/р,30.0,бизнес,дома повышенной этажности,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
558.0,370329001.0,401/3514,+32,ЖК Вершинино | https://erzrf.ru/novostroyki/zhk-vershinino-370329001?regionKey=143443001&gkId=370329001,г.Москва,"г.Москва, округ Южный, р-н Нагорный, пр-д Электролитный",н/р,0.0,эконом,высотные дома,Ведис Групп | https://erzrf.ru/zastroyschiki/brand/430127001?regionKey=0&organizationId=430127001,н/р
559.0,6291262001.0,401/3514,+32,ЖК Виноградный | https://erzrf.ru/novostroyki/zhk-vinogradnyj-6291262001?regionKey=143443001&gkId=6291262001,г.Москва,"г.Москва, округ Восточный, р-н Измайлово, пр-д Измайловский",н/р,0.0,бизнес,многоэтажные дома,Прима-Мех | https://erzrf.ru/zastroyschiki/brand/6290883001?regionKey=0&organizationId=6290883001,н/р
